"Anos","DE","AT","BE","BG","CY","HR","DK","SK","SI","ES","EE","FI","FR","GR","HU","IE","IT","LV","LT","LU","MT","NL","PL","PT","CZ","RO","SE","IS","UK"
"1995","19739","19850","18802.4","6485.9","14320.6","6679.1","19011.5","7285.5","11415.2","13643.4","5421.6","16407","17915.3","12927.2","7699.9","15887.7","18759","4607","4970","33252.5","11647.3","19639.7","6430.5","12067.7","11537.7","4547.7","19355","20095.9","17217.3"
"1996","20406.3","20814.9","19275.9","5804.3","14678.2","7369.9","20120.5","7972.7","12126.1","14390.2","5833.5","17024.3","18640.1","13686.9","7926","17378.1","19542.2","4903.9","5413.4","35083.3","12371.5","20776.6","7004.7","12645.9","12375.2","4869.3","20283.9","21031.5","18542.9"
"1997","20561.8","21276.4","19858.5","4811.8","14878.4","7919.9","20859.4","8439.8","12788.3","14989","6668.3","18237.1","18909.3","14355.7","8221.2","18934.5","19978.7","5412.4","5916.6","35856.5","12903.7","21770.4","7466.7","13211.6","12327.5","4655.9","20756.9","22520.4","19281.3"
"1998","21090.2","22196.8","20278","5140.6","15609.6","8142.5","21480.4","8839.6","13360.6","15890.7","7021.8","19618.9","19483.1","15006.3","8652.5","20852.9","20820.6","5864.9","6459.9","36944","13379.7","23057.2","7881.5","13885.7","12404.1","4613.5","21541.8","23872.6","19669.2"
"1999","21970.2","23069.2","21259.4","4853.3","16431.1","8225.9","22273.2","8953.2","14275.5","16674.7","7035.7","20696.7","20361.3","15430","9086.2","22558.5","21394.5","6175.7","6536.1","42306.8","14058.8","24458.1","8417.6","14806.1","12805.5","4676.7","22956.4","24670.8","20402"
"2000","22594.7","24403","23081.1","5334.8","17684.7","8949.4","23806.6","9450.6","14953.8","17930.3","7836.7","22250.5","21727.3","16212.3","9846.6","25065.7","22489.4","6657.8","7024.9","45972.7","15187.9","26475.5","8848.3","15681.1","13448","4858.1","24604.3","24677.4","21933.7"
"2001","23485.4","24589.9","23832.7","5761.1","18926.5","9608.5","24370.1","10253.9","15686.5","18998.8","8545.1","23011","22815.9","17347.7","10934.4","26932.6","23208.1","7462.9","7821.4","46254","15242.2","27468.6","9187.1","16164","14526.7","5396.6","24776","26294.5","22969.3"
"2002","23917","25556.4","24821.7","6382.3","19308.5","10359.1","25115.2","10911.7","16591.5","19976.8","9566","23446.9","23441.5","18537.7","11906.9","28862.4","23554.7","8239.9","8602","48173.5","16053","28235.5","9656.6","16685.9","14909.3","5870.8","25349.7","26659.1","23826.8"
"2003","24555.2","26391.2","25396.6","6910.6","19934.2","11131.8","25304.3","11643","17333.7","20563.4","10786.1","23852","23192.6","19619.6","12710.5","29784.9","23971.4","9050.2","9918.8","49348.1","17080.8","28037.5","10074.5","17119.2","15966.9","6206.9","26120.6","26810.9","24873"
"2004","25600.4","27594","26196.3","7517.8","21197.4","11875.6","26911.6","12440.2","18596.2","21359.9","11875","25492.5","23808.6","20801.8","13271.5","31622.4","24147","9976.1","10656.7","52379.1","17448","29257.4","10909.9","17547.9","17008.9","7345.3","27663.3","29119","26139.6"
"2005","26037","28673.5","27170.1","8427.9","22735.9","12528.2","27966.3","13626.4","19533.5","22607.9","13614.5","26248","25046.6","20946","13981.9","33115.5","24674.8","11331.3","11895.7","55867","18232.3","30812.5","11379.6","18610.2","17980.6","7863.4","28043.5","30490.9","26752.7"
"2006","27152.4","29935.9","28025.9","9067.8","23858","13863.8","29675.5","15033.9","20444.1","24418.1","15367.2","27386.8","25882.6","22692.4","14594.9","35168.7","25795.9","12528.1","13116.4","62024.4","18479.1","32600","12048.2","19619.2","18918.5","9185.9","29990.1","31106.6","27663.5"
"2007","28651.1","31132.9","29049","10115.4","25962.1","15287.8","30797.9","16756.4","21852.8","25636.7","17521.7","29875.7","27021.2","23150.2","15052.4","36955.3","26956.6","14326.4","15091.6","66372.8","19673.8","34692.5","13267.9","20317.9","20647.2","10817.1","32297","32530.2","28135.6"
"2008","29331.5","32057.9","29394.3","11123.3","27025.4","16116.3","32028.5","18409.2","22970.4","25809.5","17714.2","31101.5","27314.2","23941.6","16058.9","34360.5","27562.9","15104","16095.6","67267","20323.5","36018.2","14207.2","20690.4","21605.2","13021.6","32711.2","33611.4","28445.2"
"2009","27798.4","30895.8","28503.2","10702.6","25585.2","15093.2","30452.6","17427.3","20792.7","24231.8","15549.5","28671.5","26266.2","22923.1","15610.1","31420.7","26127.5","12776.1","13698.5","62112.6","19733","33643.3","14556.8","19978.1","20834.9","12558.1","30413.4","31634.6","26424.4"
"2010","29763.3","31798.8","30088.5","11250","25299.7","14956.2","32550.8","19040.7","21063.3","23981.9","16497.4","29487.6","27263.9","21308.4","16328.4","32774.5","26612.8","13313.6","15169.5","64809.4","21051.5","34095.5","15933.6","20635.7","20944.3","12843.6","31961","29959.7","27510"
"2011","31712.6","33137.1","30520.4","11674.6","24833.4","15454.9","33100.5","19418.8","21566.8","23755.9","18470.3","30501.3","28002","19487","17088.6","33437.4","27281.9","14752","17014","68584.8","21332.4","34737.2","17033.9","19955.3","21467","13349.2","33253.3","30389.9","27702"
"2012","32028.8","34316.8","31239.1","11997.2","23515.4","15607.5","33095.7","19895","21453.2","23430.8","19346.3","30191.9","27926.8","18677","17099","34168.4","26951.5","15727.3","18205.1","67679","21753.3","34918.8","17605","19529.1","21456.5","13984.3","33559.8","30969.8","28300"
"2013","32456.5","34568.7","31502.4","11961.3","21911.3","15707.8","33706.6","20174.2","21621.7","23396.4","19940.1","29931.2","28560.6","18825.8","17671.8","34550.9","26195.9","16369.5","19245.7","68954.9","22438.1","35520.7","17831.3","20151.8","21991","14280.9","33407.7","31853.1","28833.3"
"2014","33682","34963.1","32190.3","12577.8","21524.5","15815.3","34319.5","20771.3","22117.1","24019.9","20861.8","29917.5","28761.6","19228.7","18345","36588.1","25932.2","17083.5","20172.8","72575.4","23973.8","35273.7","18350.2","20592.8","23115.4","14775.8","33805.9","32752.8","29565.4"
"2015","34272.5","35850.5","33215.6","13183.2","22800.2","16523.6","35260.6","21507.9","22738.8","25093.2","21129","30553.3","29368.8","19336.1","19167.5","49633.9","26528.4","17847.1","20716.9","74570.6","26011.7","36154.4","19302.8","21324.4","24215.6","15547.6","35302.2","35113.9","30559.7"
"2016","35117.1","36554.3","33759.2","13896.7","24730.7","17281.6","36094.1","20593.2","23521.8","25892.9","21690.5","31204.2","29808.3","19323.5","19237.6","49950.1","27726.9","18338.1","21477.5","76656.8","27124.9","36310.9","19643.2","21949.6","24916.7","16887.7","35020.5","36826.7","30671.2"
"2017","36227.4","37338","34664.7","14656.6","25910.9","18223.1","37630.3","21121.6","25046.6","27045.3","23112.7","32461.8","30633.8","19879","20179.9","53391.6","28555","19468.8","23112.8","77101","28604.1","37824","20605.9","22610.5","26303.1","18655.5","36040.9","37970.6","31418.5"
"2018","37042.3","38684.6","35541.1","15420.8","27112.7","19116.5","38920.8","22157.9","26357.8","27536.9","24731.3","33590.6","31701.5","20647.5","21480.4","57450.6","29124.4","20845","24373.4","79440","29805.2","39154","21654.3","23359","27473.5","19932.5","36559.5","39277.3","31940.2"
"2019","37561.2","39578.9","36474.4","16450.8","27626","20077.3","40102.1","22891.8","27225.6","28240.6","25989.3","34436.7","33113.1","21029.3","22756","59191.4","29600.2","21558.6","25528.7","81226.6","30650.2","39861","22922","24387.9","28511","21621.5","37407.9","40312.3","32624.5"
