"PIB por componentes","Anos","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Total","UE27 (2020) - União Europeia 27 (desde 2020)","6338144.5","6636980.2","6819286.7","7110611.1","7431107.9","7869519.3","8241989.4","8539136.9","8767873","9167951","9560767.8","10112652.5","10738992.4","11085402.4","10587697.1","10978265","11322768.5","11390022.2","11516664.4","11781665","12213010.9","12550459.6","13046775.7","13484821.8","13918144.4"
"Total","UE28 - União Europeia (28 Países)","7363931.4","7751805.7","8194824.8","8583600.2","9009714","9667200.9","10074332.2","10432496","10585058.2","11113148.9","11602701.1","12276152.8","13003686.9","13082100.8","12324697.3","12845661.1","13235226.5","13501730.6","13615090.1","14091450.2","14853945.5","14985514.8","15409885","15908558.4","16441458.1"
"Total","ZE19 - Zona Euro (19 Países)","5743475.4","5987593.9","6131712.5","6381791","6674091.7","7025053.1","7354258.3","7603716.4","7823445.9","8156477.8","8447664.5","8896707.6","9390564","9622963.1","9274983","9534696.5","9799209","9836952.8","9933832.7","10167902.7","10524277.2","10817187.6","11200947.5","11562207.8","11905421.4"
"Total","DE - Alemanha","1977604.1","1967956.2","1952617.8","2000815.9","2059480","2109090","2172540","2198120","2211570","2262520","2288310","2385080","2499550","2546490","2445730","2564400","2693560","2745310","2811350","2927430","3030070","3134100","3244990","3344370","3435760"
"Total","AT - Áustria","184351.3","186968.1","187853.7","195011.9","203850.6","213606.5","220525.1","226735.2","231862.5","242348.3","254075","267824.5","283978","293761.9","288044","295896.6","310128.7","318653","323910.2","333146.1","344269.2","357299.7","370295.8","385711.9","398521.9"
"Total","BE - Bélgica","220251.5","219965.3","223032.7","231015.7","242307.6","256376.4","264334.9","273255.9","281200.2","296819.7","310037.6","325151.5","343618.9","351743.1","346472.8","363140.1","375967.8","386174.7","392880","403003.3","416701.4","430372.1","446364.9","459819.8","473638.9"
"Total","BG - Bulgária","14512.8","9829.9","10064.7","13437.6","12804.4","14406.8","15905.3","17478.3","18798.3","21093.2","24039.9","27410","32444.5","37217.7","37400.2","38044.1","41252.6","42033.5","41885.4","42876.1","45675.8","48620.5","52310","56086.9","60675.3"
"Total","CY - Chipre","7596","7890.1","8414.3","9152.6","9839.7","10804.6","11602.9","12082.9","12871.3","13938","15039.3","16263.8","17591","19009.6","18675.5","19410","19803","19440.8","17995","17408.5","17826.9","18872.9","20039.7","21137.8","21943.6"
"Total","HR - Croácia","17349.7","18939","21122.8","22695.5","21968.4","23468.1","25842.6","28475","30727.9","33480.5","36484.5","40198.9","43991.4","47998.3","45064.1","45111.8","44793","43940.8","43703.2","43401.3","44616.4","46615.5","49094.4","51625.1","53936.7"
"Total","DK - Dinamarca","141441.4","147843.4","153152.1","158146.4","166972.1","178018.1","184045.6","189794.9","193353.4","202422.2","212832.4","225531.3","233383.3","241613.5","231278","243165.4","247879.9","254578","258742.7","265757","273017.6","283109.7","292408","301340.9","310937.1"
"Total","SK - Eslováquia","15322.9","17053.2","19331.1","20333.8","19516.1","22389.1","23909.8","26340.7","30119.1","34757.7","39403.4","45602","56339.3","66098.1","64095.5","68093","71214.4","73483.8","74354.8","76255.9","79758.2","81038.4","84517","89721","94177"
"Total","SI - Eslovénia","16340.4","16946.1","18320.7","19784.6","21227.5","21866.8","23249.1","24972.4","26247.5","27692","29122.3","31476.1","35073.5","37925.7","36254.9","36363.9","37058.6","36253.3","36454.3","37634.3","38852.6","40366.6","42987.1","45754.8","48006.6"
"Total","ES - Espanha","470155.7","506362.6","520831","553338.4","595723","647851","700993","749552","802266","859437","927357","1003823","1075539","1109541","1069323","1072709","1063763","1031099","1020348","1032158","1077590","1113840","1161878","1202193","1245331"
"Total","EE - Estónia","2984.7","3765.4","4547.8","5060.3","5411.7","6179.8","6992.2","7827.3","8747.6","9776.2","11336.5","13560.5","16398.7","16638.3","14211.8","14860.7","16826.8","18050.7","19033.4","20180","20782.2","21693.6","23775.8","26035.9","28037.2"
"Total","FI - Finlândia","102643.6","104142.2","112033.4","119733.4","126916","136442","144628","148486","151749","158758","164687","172897","187072","194265","181747","188143","197998","201037","204321","206897","211385","217518","225835.9","233619.2","240078"
"Total","FR - França","1224717.2","1265105.4","1282409.5","1343327.3","1400999","1478585","1538200","1587829","1630666","1704019","1765905","1848151","1941360","1992380","1936422","1995289","2058369","2088804","2117189","2149765","2198432","2234129","2295063","2353090","2418997"
"Total","GR - Grécia","104662.1","114908.2","126353.8","129057.3","139945.1","142976","152193.8","163460.8","178904.9","193715.8","199242.3","217861.6","232694.6","241990.4","237534.2","226031.4","207028.9","191203.9","180654.3","178656.5","177258.4","176487.9","180217.6","184713.6","187456.5"
"Total","HU - Hungria","35469.4","36758.4","41741.4","43408.6","46040.1","51238.5","60012.9","71756.1","75442.8","83753.7","90905.1","92016.6","102253.3","108215.8","94382.6","98986.8","101552.7","99733.6","102032.3","105905.9","112210.3","115259.2","125603.1","133782.2","143826.4"
"Total","IE - Irlanda","52944.6","59772.3","73091.9","80460.9","92632.4","108380.4","121958.6","135959.2","145555.8","156143.8","170187","184993.7","197202","187769.1","170100.5","167732.3","170827","175115.7","179661.3","194818.2","262833.4","271683.6","297130.8","324038.2","347215.3"
"Total","IT - Itália","898299.3","1033759.7","1096302","1134534.9","1175149.5","1241512.9","1304136.8","1350258.9","1394693.2","1452319","1493635.3","1552686.8","1614839.8","1637699.4","1577255.9","1611279.4","1648755.8","1624358.7","1612751.3","1627405.6","1655355","1695786.8","1736592.8","1766168.2","1787664.1"
"Total","LV - Letónia","4124.1","4685.3","5734","6384.2","7032","8605.6","9343.4","10139.9","10463.7","11658.7","13715.6","17255.9","22676.8","24397.2","18807.4","17817.7","20218.7","22098.2","22845.4","23654.2","24426","25072.6","26797.8","29056.1","30476.1"
"Total","LT - Lituânia","5124.1","6603.9","8924.3","10026.4","10293.5","12491.3","13681.4","15173","16668.7","18237.4","21002.4","24079.2","29040.7","32696.3","26934.8","27955.3","31233.7","33331.7","34985","36544.8","37321.8","38893.4","42269.4","45264.4","48339.2"
"Total","LU - Luxemburgo","16508.3","17156.4","17414.8","18058.5","20870.6","23079.4","23771.9","25094.7","26187.8","27935.5","30031","33808.4","37178.9","38128.6","36976.5","40177.8","43164.6","44112.1","46499.6","49824.5","52065.8","54867.2","56814.2","60053.1","63516.3"
"Total","MT - Malta","2829","2997.6","3331.5","3550.5","3835.1","4394.9","4541.1","4737.2","4794.7","4867.2","5142.1","5386.1","5757.5","6128.7","6138.6","6599.5","6835.8","7164.6","7644.9","8507.3","9628","10338.9","11284.4","12366.3","13208.5"
"Total","NL - Países Baixos","346000.8","354929.1","367861.6","391460.9","419459","452007","481881","501137","512810","529286","550883","584546","619170","647198","624842","639187","650359","652966","660463","671560","690008","708337","738146","774039","812051"
"Total","PL - Polónia","108715.7","126003.6","140437.4","154747.6","159267.4","186375.9","212405.7","210146","192274.3","206119.6","246200.1","274600.2","313872.4","366180.6","317081.3","361803.9","380241.7","389376.8","394733.8","411163.2","430258.1","426555.7","467312.9","496360.9","527033.2"
"Total","PT - Portugal","91015.8","96626.8","103306.6","110683.7","119603.3","128414.4","135775","142554.3","146067.9","152248.4","158552.7","166260.5","175483.4","179102.8","175416.4","179610.8","176096.2","168295.6","170492.3","173053.7","179713.2","186489.8","195947.2","204304.8","212302.8"
"Total","CZ - República Checa","45724.2","52771.3","54515","59540.9","60796.5","66838.8","75387.7","87055.1","88249.1","96028.5","109627.7","123943.2","138302.9","161313.1","148682","156718.2","164040.5","161434.3","157741.6","156660","168473.3","176370.1","191721.8","207570.3","220200.7"
"Total","RO - Roménia","28589.8","29035.4","31450.5","37063.3","33726.8","40594.9","45143.6","48695.7","51108.5","60402","79223.9","97215.6","127632","146590.6","125213.9","125408.8","131925.4","133147.1","143801.6","150458","160297.8","170393.6","187772.7","204640.5","222090.2"
"Total","SE - Suécia","202866.1","228205.5","235090.3","239780.2","255440.6","283525.1","268987.8","282019.4","294472.7","308173.7","313789.7","335029.3","356548.7","353309.7","313612","374329.5","411873.8","428825.4","440191.2","437540.9","454184.3","466347.6","479605.4","471207.2","474683.3"
"Total","IS - Islândia","5449.7","5842.7","6682.3","7562.4","8408.4","9752.4","9144.4","9885.9","10104.6","11144","13535.5","13767.6","15726.8","10948.5","9426.4","10332.4","10889","11458.5","12064.1","13389.9","15679.8","18646.1","21704.9","21795.2","21602.7"
"Total","NO - Noruega","116241","128671.9","142336.6","137395.7","152301.8","185788.4","194362.4","207898.4","202462","213032.7","248462.6","275414.7","293167","317021.5","278246.6","323760.9","358339.5","396523.5","393408.7","375947.3","347632.1","333471.3","353316.4","367893.7","359109.3"
"Total","UK - Reino Unido","1025787","1114825.5","1375538.1","1472989.1","1578606.1","1797681.6","1832342.8","1893359.1","1817185.2","1945197.9","2041933.3","2163500.2","2264694.5","1996698.4","1737000.2","1867396","1912457.9","2111708.4","2098425.7","2309785.1","2640934.6","2435055.2","2363109.3","2423736.6","2523312.5"
"Total","CH - Suíça","262110.8","260216.4","252935","263721.6","272140.6","294914.5","311299.7","320237.4","312431.2","317491","328683.1","343498.6","350695.6","378248.1","390207.4","441085.7","504020.9","519716.4","518379.5","534923.7","612658.4","606773.4","602268.2","597008.9","628106.6"
"Consumo Privado","UE27 (2020) - União Europeia 27 (desde 2020)","3541644.4","3730962.6","3815516.6","3966182","4155097.7","4401671","4600045","4739693.1","4881986.8","5081042.9","5319721.5","5573944.9","5853466.7","6082775.2","5916168.6","6108625.8","6273970.3","6333503.8","6367427.4","6449858","6595744.7","6754830.3","6991932.2","7203862.7","7402600"
"Consumo Privado","UE28 - União Europeia (28 Países)","4198509.2","4448524.6","4717613.9","4942277.1","5206599.1","5597158.9","5816997.1","5989282","6071795.9","6353578.5","6644306.2","6959490.5","7298081.9","7365347.9","7038793","7308413.7","7503287.7","7696730.9","7728299.2","7938620.2","8298438.1","8340044.1","8528274.2","8790826.8","9043216.6"
"Consumo Privado","ZE19 - Zona Euro (19 Países)","3227530","3384472.2","3446852.5","3574994.3","3751257.7","3951354.1","4122729.7","4232398.5","4374227.4","4539027.1","4719285.9","4928533","5139963.5","5301038.5","5207294.7","5334701.4","5459301","5498340.7","5524313","5599632.1","5720807.2","5858761.5","6036391.3","6207609.3","6362355.9"
"Consumo Privado","DE - Alemanha","1104338.8","1108170.4","1097209.6","1113504.9","1157371","1187402","1226704","1225271","1248729","1270247","1293777","1328142","1349605","1380826","1380388","1413207","1464938","1507366","1533784","1563899","1602250","1649797","1696964","1743685","1793981"
"Consumo Privado","AT - Áustria","101279.8","103782.3","102873","105899.4","109328.9","115062.8","119328.7","121393.8","125399.1","130533.5","136717.1","142523.5","147713.2","152242.9","154050.5","158310.4","165545.9","170351.3","173819.5","177888.2","181370.8","186890","193349.9","199655.9","205788.1"
"Consumo Privado","BE - Bélgica","116865.6","117634.9","117458","122246.3","126176.4","134116.1","138526","140825.9","143956.1","149126.9","155602.7","162732.4","170591.9","178419.2","177992.9","186792.3","193783.7","200593.7","206109.5","208800.5","213930.1","221090.9","229535.1","237249.7","243202.5"
"Consumo Privado","BG - Bulgária","8345.9","7256.4","6586.4","7539.7","8338.9","9577.1","10910.9","11932.1","12782","14418.3","16530.3","18334.1","22227.2","24426.8","23547.2","24192.6","25663.4","27451.6","26053.6","26799.8","28253","29367.7","31455.4","33480.1","36125.6"
"Consumo Privado","CY - Chipre","4698.8","4972.7","5260.1","5708.5","6037.1","6688.5","7147.5","7462.5","7837.8","8568.5","9259.8","9991.2","11246.2","12689.8","11895.4","12771","13032.8","13005.1","12064.2","12009.1","12103.4","12447.5","13121.3","13777.5","14238.1"
"Consumo Privado","HR - Croácia","11526.6","12097.5","13850.1","14169.9","13459.9","14708.1","16543.8","18699","19598.1","21124.2","23088.4","24479.9","26406.9","29122.2","26951.8","27103.4","27421.1","27315.1","27206","26263.1","26347.9","27160.7","28516.7","30038.3","31343.5"
"Consumo Privado","DK - Dinamarca","71501.7","74169.2","76486.6","79297.4","81393.2","83782.6","85966.7","89082","91350.1","96607.3","101713.4","106912.7","110826.7","114504.6","112122.6","115776.5","118768.9","122304.7","123405.3","125333.5","128622.6","132135.7","136062","140575.6","144649.7"
"Consumo Privado","SK - Eslováquia","8164","9183.3","10157.7","10860.1","10620.9","12219.3","13365.4","14742.5","16319.8","19456.6","21661.5","25038.2","30547","36901","38247.2","38943.4","39676.5","41202.6","41258.7","41995.1","43106.2","44639","47223.6","50183.6","52678.3"
"Consumo Privado","SI - Eslovénia","9633.1","9900.1","10496.1","11249","12187.1","12314.2","12912.3","13712.1","14431.4","14905","15513.7","16085.3","17827.3","19364.5","19934.5","20422.2","20949.4","20840.8","20449.4","20692.9","20985","21759.9","22576.7","23745.8","24823.1"
"Consumo Privado","ES - Espanha","286741.2","306180.8","313587.1","330191.9","355082","386232","415480","439857","464719","500587","538655","579897","619836","637518","608749","623125","622085","613733","601748","612711","630215","648265","678229","700802","717287"
"Consumo Privado","EE - Estónia","1667.3","2179.8","2634.4","2900.6","3030.9","3352","3819.8","4330.1","4823.9","5405.3","6148.3","7318.4","8562.2","8833.4","7517.8","7737.1","8424.1","9149.7","9768.4","10196","10659.7","11226.1","11958.5","12930","13660.6"
"Consumo Privado","FI - Finlândia","52305.5","53680.4","56123.4","58775.4","61991","65220","68774","71649","75349","78394","81746","86134","90871","95815","94773","99020","105260","108645","110708","112803","115144","118169","120160","123740","126256"
"Consumo Privado","FR - França","670048.6","697402.8","694221.6","724833.5","751118","796327","832486","857001","884545","921073","960562","1002371","1050592","1085168","1072341","1104506","1131742","1142970","1156741","1167531","1188170","1212312","1239519","1268501","1298745"
"Consumo Privado","GR - Grécia","71162.9","78092.3","84285.8","86471.1","93393.3","95641.3","100685.6","108123.2","115871.5","124016.9","131812.5","139855.9","150861.6","163039","161838.1","156803.2","144677.9","133667.7","127853.3","125440.6","123078.6","122094","123815.8","125613.8","127425.2"
"Consumo Privado","HU - Hungria","19150.6","19512.9","21497.1","22545.8","25007.6","27888.4","32390.1","39163.2","42491.5","46080.7","49836.5","49065.7","55598.5","58024.8","50621.3","51997.9","53598.3","53689.4","53384.7","53114.3","54865.3","57399.8","62202.9","65152.3","69497.7"
"Consumo Privado","IE - Irlanda","27900.8","31732.9","36845.8","39237.9","44138.7","51131.5","55833.2","60878.5","65104.2","68677.9","74674.7","81673.2","89722.8","91392.2","81182.4","79811.9","79251.2","79626.4","80922.3","83762.7","86844.2","91761.5","95572.9","100525","105631.9"
"Consumo Privado","IT - Itália","528761","604726.3","647962.5","677361.4","710248.4","751730.2","775877.8","798350.8","828303.5","856706.6","885949.2","921982.5","953816.2","973266.3","953183.9","978454.3","1007661.3","995710.1","982189.6","986309.5","1005936.2","1019578.7","1046341.5","1065459.9","1075403.5"
"Consumo Privado","LV - Letónia","2700.5","3188.3","3837.3","4069.4","4574.6","5378.8","5777.8","6237.1","6423.5","7309","8444.2","11108.5","13594.9","14140.3","11367.1","11237","12405.2","13444.8","14133","14494.8","14709.4","15088","16030.5","17172.6","18181.6"
"Consumo Privado","LT - Lituânia","3274.3","4237.2","5474.6","6134.5","6688.4","8121.8","8934","9783.6","10740.1","11888.9","13583.1","15509.8","18460.6","21260.8","18335.4","17892.2","19489.7","20725","21825.4","22656.5","23348.2","24521.6","26267","27958.9","29432.2"
"Consumo Privado","LU - Luxemburgo","7064.8","7160.8","7223.5","7473.1","8151.2","8741.8","9240.7","9784.9","10234.1","10561.2","10901.6","11481.4","12009.8","12548.6","12630.1","12935","13524.8","14200.7","14726.7","15400.5","15692.9","16280","16937.7","17874","18730.4"
"Consumo Privado","MT - Malta","1707.8","1878.2","2069.9","2204.6","2412.3","2762.9","2912.6","2893.7","2935.8","3072.4","3239.3","3419.1","3485","3605.5","3742.3","3814.9","4010.4","4097","4232.7","4348.1","4637.3","4775.9","4986.9","5406","5615"
"Consumo Privado","NL - Países Baixos","170310","177536.1","183146.3","196122.1","213006","227496","239644","250713","256214","261633","268879","275889","286818","295433","285532","290509","296819","297167","300441","304244","310816","316041","327261","341458","354862"
"Consumo Privado","PL - Polónia","64363.3","76961.1","87025.2","95649.2","99425.4","118582.7","136787.7","139394.9","124826.1","132273.3","154746.2","169950.5","189001.5","226232.5","195247","222745.1","233716.2","239544.8","240551.5","246787.5","251305.2","249443.8","272531.6","288186.3","302422.7"
"Consumo Privado","PT - Portugal","58905.2","62832.5","65985.7","69750.6","75701.5","81416.2","85280.5","89388.8","92290.7","96864.3","102159.3","107380.7","113802.7","118575.1","113594.1","118409.3","116024","111844.8","111538.1","114449.6","117810.3","122024.4","126541","131899.5","136187.9"
"Consumo Privado","CZ - República Checa","22405.9","26180.9","28073.5","30145.5","31015.1","33800.1","37602.8","43409.9","44037.2","46915.9","52453.6","58218.8","63703","76413","72279.1","76724.6","80468.8","79436","77945.8","75307.3","78895","82957.5","90907.5","98483.3","104387.5"
"Consumo Privado","RO - Roménia","19860.3","21224.4","22902.4","28736","24378.5","27935.3","31223.1","33447.7","35016.5","42398.8","56343.6","66836.6","85967.7","93656.5","79041","80035.9","83689.2","84747","87892.7","92563.9","98984.6","106504.5","118274.9","129914.7","141985.7"
"Consumo Privado","SE - Suécia","96960","109087.9","112242.7","113104.3","120821.5","134042.5","125890.2","132165.7","137657.9","142197.2","145723.6","151613.7","159771.7","159356.2","149064","175348.3","191343.6","200674.4","206674.8","204056.4","207663.9","211099.2","215589.8","210422.8","210300.1"
"Consumo Privado","IS - Islândia","3116","3368.9","3811.5","4332.4","4954.7","5794.7","5053.3","5368.4","5718","6300","7922.9","7865.1","8802.1","5724.3","4826.9","5324.8","5678.9","6155.7","6372.2","7059.6","7837.1","9251.7","10929.9","11117.7","10975.2"
"Consumo Privado","NO - Noruega","56834.3","61853.7","66762.5","66672.1","71842.8","78887.9","82944.1","92963.1","92556.9","94434.1","104207","110842.7","118666.3","121699.1","117550","135818.1","144376.5","157403.2","158119.1","154218.4","151321.6","151918.9","157784.6","159788.5","161790.6"
"Consumo Privado","UK - Reino Unido","656864.8","717562.1","902097.4","976095.1","1051501.4","1195488","1216952.1","1249588.9","1189809.1","1272535.6","1324584.7","1385545.6","1444615.2","1282572.7","1122624.4","1199787.8","1229317.4","1363227.2","1360871.8","1488762.2","1702693.4","1585213.8","1536342.1","1586964.1","1637824.3"
