"PIB por componentes","Anos","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Exportações de bens e serviços","UE28 - União Europeia (28 Países)","2053407.8","2190944","2459223.7","2598063.9","2748116.6","3260171.8","3399038.3","3453157.8","3443764.7","3759450.9","4088503.3","4592149.5","4945783.2","5102847.7","4303760.1","4959122.6","5484305.1","5741616.1","5813389.1","6056386.5","6497097.8","6561328.5","7041665.3","7373935","7638724.2"
"Exportações de bens e serviços","ZE19 - Zona Euro (19 Países)","1589975.4","1680609.1","1862571.9","1977944.8","2090888.9","2465315.1","2582292.9","2624450.6","2628633.4","2865350.7","3082820.2","3427204.2","3726736.9","3857570.6","3261640.7","3735355.4","4119422.7","4300929.6","4360988.5","4536270.8","4850452","4928908.7","5295876.2","5547937.2","5719995.3"
"Exportações de bens e serviços","DE - Alemanha","434958.9","449875.3","495189.2","528353.6","555220","650606","691839","716424","725654","808022","870921","988208","1082874","1115342","932310","1091549","1213641","1271274","1276878","1335472","1419545","1442413","1538042","1585770","1612057"
"Exportações de bens e serviços","AT - Áustria","61818.8","64035.2","69558.6","74789","80229.6","92590.5","98392.9","102755","103342.1","113581.9","123530.7","136166.4","149261.3","156424.9","130217.3","151683","167310.3","171988.8","173101.8","177855.3","182769.3","187407.6","200099.2","215057","221782.7"
"Exportações de bens e serviços","BE - Bélgica","132402.8","134602","144495.3","148252.8","156441.2","185994.4","189295.4","193550.7","194130.8","210463.8","230304.7","249732.6","269059.8","284492","238491.1","275442","303396.1","310501.8","311649.5","321600.7","324215.7","341615.1","367409.4","379699.6","386328"
"Exportações de bens e serviços","BG - Bulgária","4693.4","4767.2","4989.7","5635.9","5473.9","5218","5548","5881","6469.8","8639.1","10224.1","12876.6","16996.9","19546.2","15797.3","19183.7","24390.8","25503.6","27156.7","27795.2","29228.3","31151.6","35206.5","36939","38573.7"
"Exportações de bens e serviços","CY - Chipre","5071.3","5539.5","5821.5","6287.6","6585.4","7559.2","7914.2","7540.4","7434.7","7929.3","8375.7","8690.7","9368.8","9520.3","9099.1","9778.7","10593.7","10753.1","11041.8","11508.6","12537","13352.6","14632","15444.4","15607.4"
"Exportações de bens e serviços","HR - Croácia","4784.2","5812","6606.4","6682.8","6687.1","8272.2","9623","10310.8","11027.5","12353.9","13400.3","15241.7","16640.8","17472","14719.7","16319.2","17408.5","17367.7","17671.2","18793","20693","22204.5","24561.4","26070.8","27586"
"Exportações de bens e serviços","DK - Dinamarca","51784.5","54801.7","57834.6","58809.2","65700.9","79836.3","83841","86744.8","84763.1","88920.9","100993.5","114412.1","120151.6","130896","108992.3","122854.3","133409.3","139077.2","141865.6","145138.2","151301.4","151254.1","161230.4","167671","173711.5"
"Exportações de bens e serviços","SK - Eslováquia","8263.1","8406","10363.2","9255.3","9045.3","11912.2","13656.9","15006.4","18774.5","23998.9","28489.4","37047","46976.2","52976.3","43608.1","52647.4","60542.9","66896.6","69607.6","69788.1","73395.8","75955.3","80380.6","86213.1","87712.1"
"Exportações de bens e serviços","SI - Eslovénia","7424.7","7817.4","8713.7","9396.9","9362.6","10963","12030.6","13065.8","13387.2","15245.8","17418.4","20418.6","23814.6","25149.8","20761.1","23372.8","26032.6","26425.6","27055.1","28659.2","29974.3","31474.4","35664.2","38785.4","40535.3"
"Exportações de bens e serviços","ES - Espanha","102621.4","116627.3","133696.2","144432.1","156982","185048","195308","199036","205612","218400","231647","253378","279476","284308","246604","278386","314182","324335","336333","345593","362356","377370","408730","422170","434250"
"Exportações de bens e serviços","EE - Estónia","1969.2","2310.2","3205","3731.5","3777.6","3803.4","4279.7","4533.6","4998.5","5972","7422.5","8584.6","10267","11033.1","8601.3","11063.1","14443.1","15445.6","15992.5","16412.6","15976","16802.5","18102.4","19333.4","20347.4"
"Exportações de bens e serviços","FI - Finlândia","36710.4","37823.9","42323.3","44826.7","47726","57348","57510","58110","56634","61305","66325","74474","81986","87225","65576","72274","77022","78019","77678","75479","74845","75719","85085","90174","95975"
"Exportações de bens e serviços","FR - França","277066.9","291677.2","327311.9","350964.3","365332","422801","434786","437146","425799","451034","477378","516282","540732","560245","480921","534504","585016","609994","621707","637764","672558","675769","707336","737399","759360"
"Exportações de bens e serviços","GR - Grécia","15097.8","16416.9","20497.5","21031.9","26947.9","33911.6","34683.1","32876.6","33177.2","40114.9","42463","46130","52403.5","56532.8","45089.2","49957.9","52865.7","54844.9","54834.8","57836.5","55930.8","53058.9","59454.5","66735.6","69710.4"
"Exportações de bens e serviços","HU - Hungria","13899.9","15395.4","19996.4","22976.3","25618.4","34257","38934.7","41716.8","42499.3","49962.8","56945.3","67971.6","79698.6","85788.9","70220.3","80922.1","87930.1","86092.1","87323.8","92580.7","98722","100450.4","109454.4","113633.1","119847.7"
"Exportações de bens e serviços","IE - Irlanda","38878.3","44720.6","56392.7","67936.3","80226.8","102408.1","116258.7","123009.4","117685.2","125751.1","135441","146148","159304.6","157941.9","158596.1","172796.6","177303.1","183012.7","186244.3","214349.7","320564.9","328235.4","359654.9","396383.2","440253.2"
"Exportações de bens e serviços","IT - Itália","221632.8","245049.5","264754.6","273002.6","272643.4","318171.6","334498.2","329564","324994.1","348699.3","367450.6","406392.3","441837","439931.5","353292.1","404013","443061.3","460980.7","461783","473718.7","491905","497338.5","533719.8","555490.7","565003.7"
"Exportações de bens e serviços","LV - Letónia","1430","1901","2283.3","2512.1","2468.4","3175.4","3562.4","3715.6","3784.7","4562.1","5926.3","6901","8720.4","9630.5","7987.8","9544.9","11680.3","13523.9","13766.8","14476.9","14831.5","15144.3","16648.5","17870.8","18256.8"
"Exportações de bens e serviços","LT - Lituânia","1903.3","2769.7","4012.9","3922.8","3336.6","4814.9","6025.7","7183.2","7695.9","8634.8","11308.1","13392.9","14624.4","18682.3","13989.7","17925.5","22824.3","26135.6","27565.1","26437.5","25685.5","26283.9","31112.7","34229.3","37743.7"
"Exportações de bens e serviços","LU - Luxemburgo","16917","18275.8","20174.5","22785.9","27305","34269.5","35049.2","35625.6","36374.9","42751.3","48553.1","59586.3","67995.7","71343.1","60667.2","70119.6","76828.6","82244.5","88641.5","105930.4","115167.8","116886.8","123639.9","127047.7","132592.1"
"Exportações de bens e serviços","MT - Malta","3459.1","3420.4","3685.4","3917.5","4309","5244.6","4927","5287.9","5164.9","5035.8","5366.9","6649.4","7458.1","9099.7","9068.9","10114.1","10965.1","11845","12001.8","12664.5","14850.8","15716.4","16895.1","17922.3","18571.2"
"Exportações de bens e serviços","NL - Países Baixos","197985","203688.4","222041.1","232294.2","251277","298475","305023","301426","304015","331726","361556","398550","425837","451703","388883","446176","491041","519130","527581","541129","570353","563377","615553","652685","670135"
"Exportações de bens e serviços","PL - Polónia","24961.7","27840","32805.3","40206.6","38422.4","50748.2","57837.7","60434.2","64202.9","70626.5","85209.5","103975.5","121044.2","138625.6","117905.5","144921","161842.9","173053","182840","195585.9","212966.9","222634.5","253924.4","275928.9","292902.1"
"Exportações de bens e serviços","PT - Portugal","24364.7","25652.9","28052","30251.7","31673.3","36218.8","37253","38594.2","39974.7","42122.6","42942.7","50472.4","54740.6","55989.5","47877.7","54007.7","60673.7","63578.7","67526","69595.2","72990.7","74989.1","83717","89292.7","93102.5"
"Exportações de bens e serviços","CZ - República Checa","18472.4","20220.3","22057.6","25131.3","26094.1","32211.1","36961","39282.9","41395.3","55063.2","68168.6","80794","91845.5","101992.4","87253","103480.3","116972.6","122964.7","121257.5","129316.1","136546.4","140312.3","152852.2","162870.4","166220.1"
"Exportações de bens e serviços","RO - Roménia","7327.6","7682","8868.2","8530.3","8992.2","8764","9979.4","11693.3","12374.8","15549.8","19437.8","24081.5","31538.9","38341.3","32585.2","40630.8","48854","49808.9","57338.2","61934.8","65751","70177.6","77869.5","85102.9","89163.4"
"Exportações de bens e serviços","SE - Suécia","75367.6","82281.5","92037.6","96133.5","102572.4","122554","115268.7","116127.3","118879.5","131725.2","141359.5","159260.5","169526.5","173717.7","136545.8","167448.2","186949.1","193832.6","188414.5","190635.6","201180.8","201723.5","213105.5","215755.3","225207.9"
"Exportações de bens e serviços","IS - Islândia","1904.5","2088.2","2371","2556.6","2732.2","3140.7","3388.6","3512.6","3300.4","3608.8","4115.1","4243.1","5193.3","4448.4","4585.5","5371.2","5962.9","6304.2","6453.4","6898.6","8122.9","8882.5","10007.4","10356.1","9790.3"
"Exportações de bens e serviços","NO - Noruega","43221.5","51394.6","57727.8","50710.1","58795.6","84965.4","87389.8","83935.1","80236","87537.1","107839.1","122957.7","126936.8","145565.9","109172","128726.8","147900.9","161315.4","154205.1","146605.7","131411.2","118248.7","128370.4","141424.4","132054.1"
"Exportações de bens e serviços","UK - Reino Unido","262141.2","291534.8","351456","356013.2","377666.5","452996","458751.8","456516.1","433519.3","461259","509944.4","586331.8","571603.3","538897.1","458100.4","528007.6","587124.9","632986.8","628533.1","658336.2","730256","692511.1","717584.7","742026.2","795910.1"
"Exportações de bens e serviços","CH - Suíça","106631.9","108616.6","119490.5","123162.8","129028.4","153703.3","158418.4","156714.5","150305.8","163415.9","176800.2","194046.4","214989.1","237014.7","223317.5","282143.4","329959.8","348384.6","372844.1","343815.3","381172.5","398918.6","391671.1","394798.5","414761"
"Importações de bens e serviços","UE27 (2020) - União Europeia 27 (desde 2020)","1689132.4","1781188.6","1966522.3","2116460.9","2274543.5","2745697.8","2819628.2","2796225.2","2843197.4","3105029","3426780","3882543.9","4238991.7","4470221.4","3670641.8","4257484.2","4707964.8","4780925.7","4779886.6","4952783.4","5227436.1","5313117.2","5755113.7","6071458.3","6305386.8"
"Importações de bens e serviços","UE28 - União Europeia (28 Países)","1948477.9","2070849.5","2311122.9","2481567.4","2674115.4","3229867.9","3318708.4","3301509.6","3316739","3615862.1","3985782.7","4513309.7","4855425","5052073.3","4156633","4822771.4","5312393.9","5438666.1","5435208.9","5643324.5","5994143.6","6045071.6","6501360.3","6847153.2","7123690"
"Importações de bens e serviços","ZE19 - Zona Euro (19 Países)","1504939.8","1576338.9","1731313.1","1858357.7","2003638.3","2410570.1","2472726.3","2435016.2","2471681.1","2685007.2","2944448.5","3311368.1","3583648.8","3745278.7","3106193.2","3589829.1","3960933.5","4011966.4","4012379.3","4146048.8","4379746.2","4451447.2","4804460.9","5048544","5247727.5"
"Importações de bens e serviços","DE - Alemanha","426913.3","435815.6","474142.2","503766.7","543839","647034","656501","622998","642187","690359","751919","859030","913627","960679","809752","956602","1081437","1103805","1114987","1141722","1190410","1211642","1307600","1379711","1404365"
"Importações de bens e serviços","AT - Áustria","64013.1","66998.9","71083.1","75228","79304.2","89745.1","94647.4","94387.1","96957.9","106451.8","115385.8","126538.1","136799","143428.7","120560.3","141313.2","158643.6","163081.9","163979.9","166962.7","169856.4","173710.5","187871.4","200702.9","207602.1"
"Importações de bens e serviços","BE - Bélgica","123922.7","127624.7","135832.2","139844.9","146855.2","178650.1","179654.9","178310","179065.6","195937","217789.7","236588.4","254850.6","282125.5","230654","269259.7","303768.3","310258.7","308514.9","318300.9","318306.8","336479","361188.4","380449.9","386310.7"
"Importações de bens e serviços","BG - Bulgária","3326.8","3668.9","3712.6","4717.1","6059.7","5982.7","7030.1","7274.9","8383.5","10991.1","13747.1","17561.5","23107.6","26896.2","18886.1","20273","24235.5","26842.8","27343.5","28215","28791.5","28743.6","32938.6","35488.1","36495.7"
"Importações de bens e serviços","CY - Chipre","5136.9","5573.7","5938.6","6060.1","6325.2","7296.5","7384.1","7399.1","7239.1","7946.6","8455.8","9168","10205.6","11946.4","10097.6","11397.8","11351.5","11125.1","10757.4","11345.1","12069.1","13031.6","14707","15278.3","15693.6"
"Importações de bens e serviços","HR - Croácia","6219.2","7046.9","9329.3","8222.1","8016.1","9335.5","10968.6","13019.7","14244","15235.2","16605.6","18674.4","20341.8","22384.7","17249.8","17080.5","18305","18115.9","18612.6","18958.2","20595","21683.6","24257.1","26506.9","27887.8"
"Importações de bens e serviços","DK - Dinamarca","45123.5","46428.6","51161.4","53947.8","55683.1","67890.2","70699.4","73740.1","71624.5","77485.9","89278.1","105180.3","113390","122383.1","98591.4","105964.3","117558.6","123751.6","124769.1","126635.3","132768.6","132333.5","140771.7","149448.6","152777.7"
"Importações de bens e serviços","SK - Eslováquia","8370.2","10662.6","12367.9","11499.4","9979.8","12444.5","15436.5","16700.9","18918.8","24540.4","29720.4","38025.9","46732.7","54149.4","43716.1","52858.6","60040.7","62840.9","65441.2","66114.1","70943.3","73565.2","78531","84395.8","86744.1"
"Importações de bens e serviços","SI - Eslovénia","7790.9","8028.8","8922.1","9731.6","10281.7","11767.1","12272.6","12818.3","13470.5","15646.5","17604.8","20433.7","24280.7","25948.1","20251.1","22988","25581.8","25193.4","25350.3","26117.4","26865.5","28024.2","31795.8","34792.5","36148.6"
"Importações de bens e serviços","ES - Espanha","107892.6","117541.2","132793.5","146964","168500","204196","211248","213961","223309","250201","276195","310541","341622","336850","255923","289380","311238","303041","296245","313601","329593","332955","367144","389547","399089"
"Importações de bens e serviços","EE - Estónia","2186.9","2703","3673.4","4216.4","4014.6","4003.4","4555.9","5113","5737.6","6736.6","7997.4","9956.4","11708.8","11682","7899.8","10116.7","13473.3","15148.9","15485","15713","15164.4","15954.4","17084.7","18418.8","19228.3"
"Importações de bens e serviços","FI - Finlândia","29057.1","30620.5","34107.4","35355.3","36343","44840","44130","44790","46640","51350","59791","67273","73017","80201","61871","69707","78564","81143","79841","77858","76047","78498","84826","92499","94807"
"Importações de bens e serviços","FR - França","257474.8","269134.4","288674.2","314073.6","331818","403155","410599","405547","402544","433778","475870","520594","554598","583323","496245","560267","625111","637065","643611","662388","685011","689287","731624","755600","771862"
"Importações de bens e serviços","GR - Grécia","23740.1","26669.4","29127","33518.4","39354.7","49608.8","50758.5","49424.2","53037.2","56546.3","58953.1","69010.3","81452.7","87039.5","68318.8","69452.4","66889.4","63353.1","59915.3","62130.3","55839.7","54317.3","61292.3","67218.1","69728.2"
"Importações de bens e serviços","HU - Hungria","13902.6","15221.4","19594.8","23657.6","26879.2","36148.1","39709.2","43185.1","45471.7","53278.5","59043.4","69011.1","79148.7","85403.5","66415.5","75679.2","81717.8","79336.1","80190.1","85859.8","89759.1","90367.5","100299.3","107781.7","114561.3"
"Importações de bens e serviços","IE - Irlanda","33094.8","38185.8","47633","59174.2","68118.4","87409.3","97202.9","99645.5","95630.8","103306.5","116912","131266.7","142993.7","141784.8","135675.7","144924.8","145142.7","152398.6","152455.9","179164.3","244886.1","285882","294028.1","288993.4","390338.3"
"Importações de bens e serviços","IT - Itália","188751.2","198213.3","224070","238590.3","251717.6","307620.3","318024.1","319342.4","318640.7","340140.4","368926.7","419143","447317.3","452498","363078","433952","466153.7","443051.6","423094.6","426596.5","442016.1","441578","483996.1","513244.8","510087.3"
"Importações de bens e serviços","LV - Letónia","1626.2","2324.7","2803.1","3285.5","3159.5","3863.1","4534.2","4745.4","5099.1","6377.4","7914.3","10469.9","13034.2","12776.3","8291.6","9807.2","12685.9","14504.8","14577.2","14958.4","15053.4","14898","16606.7","17924.7","18239.5"
"Importações de bens e serviços","LT - Lituânia","2447.9","3383.4","4912.1","5066.1","4364.3","5587.2","6773.3","8044.4","8660.4","9918.2","12827.1","15864.3","18435.9","22465.7","14442.3","18486.9","23665.2","25931.8","27056.9","25772","26057.8","25980.8","30105.2","33350.3","35340.2"
"Importações de bens e serviços","LU - Luxemburgo","13559.9","14395.6","16498","19270.5","22621.1","28495.2","29454.6","29330.3","30168.6","35805.7","40871.2","48803","55625.9","59652.1","48773.2","56907.2","62787.3","68558","73754.5","89782.3","97449.2","97458.9","103662.1","105419.8","109733.3"
"Importações de bens e serviços","MT - Malta","3725.9","3701","3847.4","4011","4397.3","5560.8","5002.6","5079.6","5123.2","5100.5","5492.6","6831.2","7425.6","9114.9","9161.2","10174.2","10811.4","11512.2","11522.1","11614.5","13921.3","14292.1","14495.9","15314.2","15904.5"
"Importações de bens e serviços","NL - Países Baixos","175068.2","182236.6","198574.6","208302.9","228592","268893","273421","267151","269922","290760","314965","348337","381919","396514","341492","394496","435537","455542","460137","466572","518594","491044","536163","567613","583041"
"Importações de bens e serviços","PL - Polónia","22523.6","29460.9","38078.9","47474.3","47616.3","62551","65517.3","67596","69307.2","76157.8","87808.4","109641.7","132132.8","157082.9","120623","152150.1","169281.9","174767.4","175151.4","189661.4","199659.2","205417.4","234381","258872","268038"
"Importações de bens e serviços","PT - Portugal","30166.9","32525.9","36313.1","40398.8","44052.7","50400.6","51125.6","50228.8","49329.7","54105.3","56857.5","63494.3","68003.2","73100.2","59990.6","67738.4","68051.8","64411.5","65653","69336.3","71662","72849.3","81739.1","88445.4","92920.4"
"Importações de bens e serviços","CZ - República Checa","19887.9","22784.8","24320.6","25293","26349.7","33446.7","37906.5","40395.1","42454.8","54282.9","65593.8","77397.8","88463.9","98501.8","81490.3","98634.6","110690.9","115211.5","112165.7","119345.5","126440.2","126702.6","138428.5","149602.5","152799"
"Importações de bens e serviços","RO - Roménia","8766","9966.1","11010.2","11424.1","10560.5","10933.2","13463","14461.3","16337.8","21069.7","27590","35884.6","49514","57198.9","40630.9","48704.9","56516.6","56632.1","58457.2","62596.5","66747.2","71756.8","81857.7","91242.9","97960.8"
"Importações de bens e serviços","SE - Suécia","64442.9","70272.2","78001.4","83367.1","89740.6","108840.3","101607.8","101536.8","103692.9","111520.8","122665.2","137824.4","149244","155091.6","120561.5","149168.4","168724.9","174302","170817.8","175463","182929.1","184665","197718.8","203971.7","206958.9"
"Importações de bens e serviços","IS - Islândia","1716.7","2059.5","2340.3","2886","3112.7","3814.3","3468.3","3362.5","3599.7","4201.7","5711.1","6582.6","6620.7","4684.7","3754.5","4350.7","5124.1","5643.4","5526.9","6088.8","7004.3","7718.3","9108","9699.1","8770"
"Importações de bens e serviços","NO - Noruega","36200.8","40117.5","46266.9","48246","47828.7","53728.6","55037.9","56625.9","54508.1","59474.2","68106.2","76321","87615.2","91849.5","77405.8","92238.5","101766.4","109182.6","111529.2","111532","111441.6","111647.5","115998.8","120053","126944"
"Importações de bens e serviços","UK - Reino Unido","259345.6","289660.9","344600.6","365106.5","399571.9","484170.1","499080.2","505284.4","473541.5","510833.1","559002.6","630765.8","616433.4","581851.9","485991.2","565287.2","604429.2","657740.5","655322.3","690541.1","766707.5","731954.4","746246.6","775694.9","825411"
"Importações de bens e serviços","CH - Suíça","95444.1","98698.3","106564.9","111196.9","116102.8","135624.4","140938.9","135191.6","129413.6","135002","152966.9","164970.9","175373.1","197136.2","193932","235039.2","287446.5","294412.8","310362.1","281297.2","309478.6","329040.9","328087.8","321807.9","335440"
